,VaR1,VaR5,0,e1,e5
2014-02-03,0.98519394185103215,0.99032912338126144,0.97635105362,True,True
2014-02-04,0.98536542159527651,0.98976961662330731,1.00750961641,False,False
2014-02-05,0.98512508420747491,0.98978567855955701,0.997570110141,False,False
2014-02-06,0.98527994082749204,0.99005806011535558,1.01100595135,False,False
2014-02-07,0.98559449049803827,0.99015945162948271,1.01161079792,False,False
2014-02-10,0.98529943414560517,0.98997890377110254,1.00248931099,False,False
2014-02-11,0.98539335171204456,0.99027492493360425,1.0103984634,False,False
2014-02-12,0.985066131852261,0.98995771530314924,1.00092494675,False,False
2014-02-13,0.98541174691070355,0.98998190888728643,1.00781150766,False,False
2014-02-14,0.98563855922796006,0.98995340360161399,1.00442658618,False,False
2014-02-18,0.98544374043371108,0.99027434313572149,1.00239877105,False,False
2014-02-19,0.98543675842754774,0.98988573332556329,0.994859701225,False,False
2014-02-20,0.98510136434230633,0.98982413627445942,1.00735546585,False,False
2014-02-21,0.98450421362821328,0.98984015800665781,0.99819897446,False,False
2014-02-24,0.98506278953259641,0.98998012839018112,1.00397038906,False,False
2014-02-25,0.98501852671494006,0.98986139333133094,0.999363464136,False,False
2014-02-26,0.98533944913378302,0.9900099132729927,1.00058796659,False,False
2014-02-27,0.98482016049651955,0.98966719387674829,1.00491592158,False,False
2014-02-28,0.98500216889039927,0.98941983561193514,1.00184652302,False,False
2014-03-03,0.98443125992971459,0.98957669877321242,0.994327937227,False,False
2014-03-04,0.98469866437300524,0.98950453803925109,1.01539104428,False,False
2014-03-05,0.98351277561415185,0.98884704844180371,0.998381488086,False,False
2014-03-06,0.9838200019490404,0.9890132748407402,1.00049376886,False,False
2014-03-07,0.98430873340942571,0.98959312189997584,0.998787519553,False,False
2014-03-10,0.98401451273928753,0.98938157095181034,0.99849728936,False,False
2014-03-11,0.98393466153734011,0.98903587014881422,0.995200781513,False,False
2014-03-12,0.98442582026089931,0.98947523581968344,1.00167683701,False,False
2014-03-13,0.98421842369420487,0.98921925502624763,0.99104900602,False,False
2014-03-14,0.98450505919234288,0.98929229587045431,1.00011299291,False,False
2014-03-17,0.98441890317685332,0.98951807829320848,1.00814813657,False,False
2014-03-18,0.98461342407865016,0.9891522515154253,1.00712180657,False,False
2014-03-19,0.98500028946281426,0.989516350022555,0.991558454039,False,False
2014-03-20,0.98525607995527431,0.9895342073150043,1.00494684145,False,False
2014-03-21,0.98495940724829367,0.98958502747683097,0.999669472968,False,False
2014-03-24,0.98534207132770779,0.98956059332116786,0.994461285355,False,False
2014-03-25,0.98519011381110766,0.98972555486383484,1.00422807986,False,False
2014-03-26,0.98606228617721259,0.9900692206613273,0.991344665168,False,False
2014-03-27,0.98571451679222144,0.99005895918312703,1.00093237789,False,False
2014-03-28,0.98558799908711892,0.989938515053572,1.00456344562,False,False
2014-03-31,0.9861461382540746,0.98999791330844389,1.00884645222,False,False
2014-04-01,0.98544755035570641,0.98983173085437759,1.00706849391,False,False
2014-04-02,0.98560939594840291,0.98993228644048792,1.00275796298,False,False
2014-04-03,0.98629033722629567,0.99012029138448032,0.99809629186,False,False
2014-04-04,0.98571431470305726,0.98998317849871131,0.98944404798,False,True
2014-04-07,0.98612447730824337,0.9901275217583424,0.989954258467,False,True
2014-04-08,0.98604336285869154,0.99009909423097353,1.00616049071,False,False
2014-04-09,0.98559847251663557,0.98967161195771725,1.00856910104,False,False
2014-04-10,0.98583003362087496,0.9898282053922145,0.981587739227,True,True
2014-04-11,0.98506926839017717,0.98971316729224101,0.990529834936,False,False
2014-04-14,0.98528484841788488,0.98959211329165231,1.00707705647,False,False
2014-04-15,0.98494985549898995,0.98919229968588129,1.00672050221,False,False
2014-04-16,0.98409404739818362,0.98898637050214022,1.01083027241,False,False
2014-04-17,0.9843116915584762,0.98899999185475496,1.00119390264,False,False
2014-04-21,0.9842347542389428,0.98883374342114261,1.00372261337,False,False
2014-04-22,0.98437179383364337,0.98883771630748241,1.0045439073,False,False
2014-04-23,0.98531115274012915,0.98963227787149111,0.996744602165,False,False
2014-04-24,0.98516297430910027,0.98936568807322556,1.00002649882,False,False
2014-04-25,0.98486120197050053,0.98932135181331682,0.992182189144,False,False
2014-04-28,0.98484452135232525,0.98930649234776447,1.00214059315,False,False
2014-04-29,0.98433951789396956,0.98907306483991031,1.00439640138,False,False
2014-04-30,0.98486459279622085,0.98914750216343517,1.00445584755,False,False
2014-05-01,0.98522000049883951,0.98943975953543273,1.00124863797,False,False
2014-05-02,0.98524650429381511,0.98933244717953039,0.999004347897,False,False
2014-05-05,0.98519790405814944,0.98957998316502793,1.00243177429,False,False
2014-05-06,0.98523017366184196,0.98955943362781107,0.991661734403,False,False
2014-05-07,0.98528926972269881,0.98948441024558764,1.00652522251,False,False
2014-05-08,0.98502266278475636,0.98924454213336277,0.997128804671,False,False
2014-05-09,0.98563608764549371,0.98978521067788505,1.00145942597,False,False
2014-05-12,0.98545495282049389,0.98979791527858529,1.00913697207,False,False
2014-05-13,0.98491947023047588,0.98951250157814186,0.998686096115,False,False
2014-05-14,0.98539423610280197,0.98986277338967732,0.996645569856,False,False
2014-05-15,0.98553983368996301,0.98995101005072683,0.992401239535,False,False
2014-05-16,0.98542619965060441,0.98977059567570902,1.00438699956,False,False
2014-05-19,0.98576929661366663,0.98997691149303291,1.00233082123,False,False
2014-05-20,0.98606237865551372,0.99021034577966049,0.992852443196,False,False
2014-05-21,0.9862540998722974,0.99014497820928693,1.00557647721,False,False
2014-05-22,0.98612915631207643,0.99017048589994627,1.00306211525,False,False
2014-05-23,0.98593023370530264,0.99019896930859119,1.00486615776,False,False
2014-05-27,0.98623473562621011,0.99010743321128603,1.00562486539,False,False
2014-05-28,0.98640360453699938,0.990341303390042,0.999387570102,False,False
2014-05-29,0.98655715307678538,0.99041886922771583,1.00513320264,False,False
2014-05-30,0.98649849629588426,0.99049484836529933,1.00163048967,False,False
2014-06-02,0.98743169772713812,0.99105247194794699,1.00023827003,False,False
2014-06-03,0.98757296976713105,0.9912509111115444,0.99913975966,False,False
2014-06-04,0.98786680941844052,0.99131457720857508,1.00213470276,False,False
2014-06-05,0.98871378254517228,0.99202101349659255,1.00792069709,False,False
2014-06-06,0.98900687294537559,0.99218786647170076,1.00352781082,False,False
2014-06-09,0.98896216513489965,0.99227461820389595,0.999665205456,False,False
2014-06-10,0.98937269674146633,0.9922809381279577,0.998516143913,False,False
2014-06-11,0.98905368766182711,0.99211812236778829,0.996108873914,False,False
2014-06-12,0.9888827076663399,0.99218435179843745,0.994257824747,False,False
2014-06-13,0.98857193691690615,0.99202635356631075,1.0041011709,False,False
2014-06-16,0.988767658808962,0.992258379886091,1.00097394598,False,False
2014-06-17,0.98897102784173829,0.99229071313763595,1.00242934,False,False
2014-06-18,0.98928043788636832,0.99252567818051007,1.00860871449,False,False
2014-06-19,0.98950761534546772,0.99249368813651651,1.00244871681,False,False
2014-06-20,0.98918902723727609,0.99248522479508694,1.00207402965,False,False
2014-06-23,0.98954434706500816,0.9927734814889595,0.999510500361,False,False
2014-06-24,0.98980107901277026,0.99280888553372393,0.993754883154,False,False
2014-06-25,0.98942716346126347,0.99274916186120632,1.00487423831,False,False
2014-06-26,0.9899143001206151,0.99293568042385838,0.999324410068,False,False
2014-06-27,0.99018337461701167,0.9930040543299633,1.00265449527,False,False
2014-06-30,0.99038105702494428,0.99334440773455634,1.00146342464,False,False
2014-07-01,0.99062856500418983,0.99353217659121584,1.00517440961,False,False
2014-07-02,0.99042228823693101,0.99349276004700438,0.998493950832,False,False
2014-07-03,0.9905116906250947,0.99350692651950245,1.00371454781,False,False
2014-07-07,0.99126847122031403,0.99390932496917173,0.995286916507,False,False
2014-07-08,0.99116669670917668,0.99388053373161112,0.994716588865,False,False
2014-07-09,0.99127305401708876,0.99388584512435008,1.00397793821,False,False
2014-07-10,0.99148584941297768,0.99407124778035727,0.996988810025,False,False
2014-07-11,0.99010859636624404,0.99360097207355036,1.00076029185,False,False
2014-07-14,0.99028632643222325,0.99350204482360382,1.00339921054,False,False
2014-07-15,0.99033039670599299,0.99335355575673479,0.997129423009,False,False
2014-07-16,0.9899797633300349,0.9932602263885294,1.0039561512,False,False
2014-07-17,0.99001671226114396,0.99341237904628477,0.989010574205,True,True
2014-07-18,0.98994940459243874,0.99311735298960224,1.01018925466,False,False
2014-07-21,0.98973824278043765,0.99308824118578698,0.997050182864,False,False
2014-07-22,0.98913918266707623,0.99265055662702595,1.0045624286,False,False
2014-07-23,0.9891409192058036,0.99291483814266235,1.00174754068,False,False
2014-07-24,0.99004031456137986,0.99319896775518057,1.00035510486,False,False
2014-07-25,0.98949803496655009,0.99315755918152582,0.994951681459,False,False
2014-07-28,0.9896888161886026,0.99316478464973601,1.00142288821,False,False
2014-07-29,0.9898730031186791,0.99315661177949321,0.997952524529,False,False
2014-07-30,0.98943880287474539,0.99273177412919222,0.998615853644,False,False
2014-07-31,0.98889171529425657,0.99263656845243653,0.980421853366,True,True
2014-08-01,0.98809933163222252,0.99222558545314543,0.997760230075,False,False
2014-08-04,0.98821368793446196,0.99223902531397168,1.00623435528,False,False
2014-08-05,0.9882397306230406,0.99215891155921188,0.991520659004,False,True
2014-08-06,0.98747480495700657,0.99188909852261453,0.998670783635,False,False
2014-08-07,0.98760953931802142,0.99186921873256151,0.995853493605,False,False
2014-08-08,0.98774819802544922,0.99171844821387101,1.01105479143,False,False
2014-08-11,0.9876859992098288,0.99164074815181313,1.00326433854,False,False
2014-08-12,0.98790930448810366,0.99175382865377071,0.997920100079,False,False
2014-08-13,0.98713132534778902,0.99158672365431633,1.00694910286,False,False
2014-08-14,0.98738456877832337,0.99158822141446668,1.0036239006,False,False
2014-08-15,0.9878142330095131,0.99175343059927989,1.00044612072,False,False
2014-08-18,0.98739712083381692,0.99124823840859633,1.00807172402,False,False
2014-08-19,0.98716380676693039,0.99128162028101297,1.00448070313,False,False
2014-08-20,0.98700022955865629,0.99136685131759861,1.00205339937,False,False
2014-08-21,0.98709151402856221,0.99120648453181548,1.00164071736,False,False
2014-08-22,0.98672864958091289,0.99125429082409167,0.997788127883,False,False
2014-08-25,0.98725084496713833,0.99143677036917643,1.00420521573,False,False
2014-08-26,0.98710471942913636,0.99133191895687167,1.00108527401,False,False
2014-08-27,0.98745489402179709,0.99152712020719314,1.00144592375,False,False
2014-08-28,0.98691309868910759,0.99123512323338836,0.99901037285,False,False
2014-08-29,0.98784198343921881,0.99186587024451545,1.00429801369,False,False
2014-09-02,0.98773235180575969,0.99171949402718595,0.998988877754,False,False
2014-09-03,0.98814978362749739,0.99196191376216636,0.999950145505,False,False
2014-09-04,0.98825462046644053,0.99185132722486435,0.997821865946,False,False
2014-09-05,0.98763138255149074,0.99183450089322733,1.00592645458,False,False
